 Vext Jext convIndex P Jphoto Jdir JBulkSRH JIntLeft JIntRight JminLeft JminRight JShunt
 7.000000000000E-001 -1.064029024332E+002 1  0.000000000000E+000  1.153584000000E+002  5.056061206309E-001  7.410477308232E+000  6.013130626325E-002  6.740580469575E-002  1.236441151980E-013  7.925316150948E-016  0.000000000000E+000
 7.500000000000E-001 -1.056738256546E+002 1  0.000000000000E+000  1.153584000000E+002  6.368198988888E-001  7.985039058328E+000  6.671688625000E-002  7.515672972768E-002  1.430843891732E-013  9.522101340091E-016  0.000000000000E+000
 8.000000000000E-001 -1.047955440962E+002 1  0.000000000000E+000  1.153584000000E+002  8.103668432738E-001  8.662540315433E+000  7.443535821798E-002  8.429054339978E-002  1.662613194283E-013  1.147768062594E-015  0.000000000000E+000
 8.500000000000E-001 -1.037198228308E+002 1  0.000000000000E+000  1.153584000000E+002  1.042735742312E+000  9.473891690230E+000  8.355179997284E-002  9.513767717693E-002  1.940872920232E-013  1.388835003413E-015  0.000000000000E+000
 9.000000000000E-001 -1.023761847763E+002 1  0.000000000000E+000  1.153584000000E+002  1.358108394982E+000  1.046436311839E+001  9.440984643832E-002  1.081269080351E-001  2.277526886547E-013  1.688264731530E-015  0.000000000000E+000
 9.500000000000E-001 -1.006559223871E+002 1  0.000000000000E+000  1.153584000000E+002  1.792724165916E+000  1.170519383016E+001  1.074609314922E-001  1.238219707877E-001  2.688302890078E-013  2.063551541786E-015  0.000000000000E+000
 1.000000000000E+000 -9.837505288508E+001 1  0.000000000000E+000  1.153584000000E+002  2.402597287120E+000  1.332298096650E+001  1.233109794703E-001  1.429808967370E-001  3.194377588966E-013  2.539268853094E-015  0.000000000000E+000
 1.050000000000E+000 -9.517804577327E+001 1  0.000000000000E+000  1.153584000000E+002  3.278659489257E+000  1.558113127365E+001  1.428123786425E-001  1.666581497054E-001  3.825211753576E-013  3.151841725596E-015  0.000000000000E+000
 1.100000000000E+000 -9.025582273701E+001 1  0.000000000000E+000  1.153584000000E+002  4.589278721502E+000  1.912010448239E+001  1.673099073261E-001  1.966171400090E-001  4.626813209258E-013  3.964999611125E-015  0.000000000000E+000
 1.150000000000E+000 -8.163884642329E+001 1  0.000000000000E+000  1.153584000000E+002  6.715086308794E+000  2.553046226285E+001  1.995708241167E-001  2.365111718926E-001  5.689089498652E-013  5.118035448871E-015  0.000000000000E+000
 1.200000000000E+000 -6.467248160248E+001 1  0.000000000000E+000  1.153584000000E+002  1.071847648600E+001  3.840350092717E+001  2.466696503269E-001  2.969000400875E-001  7.235098213163E-013  7.020326200383E-015  0.000000000000E+000
 1.250000000000E+000 -3.049614143466E+001 1  0.000000000000E+000  1.153584000000E+002  1.940906282592E+001  6.375036231775E+001  3.251835984169E-001  4.138441888234E-001  9.790665247290E-013  1.113848927626E-014  0.000000000000E+000
 1.300000000000E+000  2.866668087946E+001 1  0.000000000000E+000  1.153584000000E+002  3.658722204695E+001  1.053189858471E+002  4.505441784829E-001  7.145487654573E-001  1.388218044743E-012  2.326504146876E-014  0.000000000000E+000
 1.350000000000E+000  1.016316113633E+002 1  0.000000000000E+000  1.153584000000E+002  5.812848856333E+001  1.550570499164E+002  5.803526429822E-001  1.696369699309E+000  1.823749641869E-012  6.902619501858E-014  0.000000000000E+000
 1.400000000000E+000  1.597784640806E+002 1  0.000000000000E+000  1.153584000000E+002  6.869038074901E+001  1.948847289501E+002  6.234709912574E-001  5.746401510026E+000  1.992505662912E-012  2.815240517843E-013  0.000000000000E+000
 1.450000000000E+000  1.971716746672E+002 1  0.000000000000E+000  1.153584000000E+002  6.810214720712E+001  1.929160424061E+002  6.046812922814E-001  2.587795045953E+001  1.961401066808E-012  1.512420599681E-012  0.000000000000E+000
 1.500000000000E+000  2.282238374753E+002 1  0.000000000000E+000  1.153584000000E+002  7.660812503835E+001  1.153960112415E+002  6.120935015227E-001  7.601807255455E+001  2.012952944785E-012  9.763643459690E-012  0.000000000000E+000
